,precision,recall,f1-score,support
Apple___Apple_scab,0.95,0.9047619047619048,0.926829268292683,63.0
Apple___Black_rot,0.9841269841269841,0.9841269841269841,0.9841269841269841,63.0
Apple___Cedar_apple_rust,0.9642857142857143,0.9642857142857143,0.9642857142857143,28.0
Apple___healthy,0.9593023255813954,1.0,0.9792284866468842,165.0
Blueberry___healthy,1.0,0.9801324503311258,0.9899665551839465,151.0
Cherry_(including_sour)___Powdery_mildew,1.0,0.9811320754716981,0.9904761904761905,106.0
Cherry_(including_sour)___healthy,1.0,1.0,1.0,86.0
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8,0.6923076923076923,0.7422680412371134,52.0
Corn_(maize)___Common_rust_,1.0,1.0,1.0,120.0
Corn_(maize)___Northern_Leaf_Blight,0.8440366972477065,0.9292929292929293,0.8846153846153846,99.0
Corn_(maize)___healthy,1.0,0.9914529914529915,0.9957081545064378,117.0
Grape___Black_rot,0.959349593495935,1.0,0.979253112033195,118.0
Grape___Esca_(Black_Measles),0.9925925925925926,0.9640287769784173,0.9781021897810219,139.0
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.972972972972973,0.9908256880733946,0.9818181818181818,109.0
Grape___healthy,1.0,1.0,1.0,43.0
Orange___Haunglongbing_(Citrus_greening),0.9963768115942029,0.9963768115942029,0.9963768115942029,552.0
Peach___Bacterial_spot,0.9828326180257511,0.9913419913419913,0.9870689655172413,231.0
Peach___healthy,1.0,0.9444444444444444,0.9714285714285714,36.0
"Pepper,_bell___Bacterial_spot",0.9423076923076923,0.9702970297029703,0.9560975609756097,101.0
"Pepper,_bell___healthy",0.9863945578231292,0.9731543624161074,0.9797297297297297,149.0
Potato___Early_blight,0.9705882352941176,0.99,0.9801980198019802,100.0
Potato___Late_blight,0.9587628865979382,0.93,0.9441624365482234,100.0
Potato___healthy,0.9285714285714286,0.8125,0.8666666666666667,16.0
Raspberry___healthy,1.0,1.0,1.0,38.0
Soybean___healthy,0.9844660194174757,0.9960707269155207,0.990234375,509.0
Squash___Powdery_mildew,1.0,1.0,1.0,184.0
Strawberry___Leaf_scorch,1.0,0.9732142857142857,0.9864253393665159,112.0
Strawberry___healthy,0.9791666666666666,1.0,0.9894736842105263,47.0
Tomato___Bacterial_spot,0.8638297872340426,0.9485981308411215,0.9042316258351893,214.0
Tomato___Early_blight,0.9636363636363636,0.53,0.6838709677419355,100.0
Tomato___Late_blight,0.8917525773195877,0.9010416666666666,0.8963730569948186,192.0
Tomato___Leaf_Mold,0.9036144578313253,0.78125,0.8379888268156425,96.0
Tomato___Septoria_leaf_spot,0.8881987577639752,0.8033707865168539,0.8436578171091446,178.0
Tomato___Spider_mites Two-spotted_spider_mite,0.8125,0.9230769230769231,0.8642659279778393,169.0
Tomato___Target_Spot,0.7085714285714285,0.8794326241134752,0.7848101265822784,141.0
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9904761904761905,0.9683426443202979,0.9792843691148776,537.0
Tomato___Tomato_mosaic_virus,1.0,0.7105263157894737,0.8307692307692308,38.0
Tomato___healthy,0.9069767441860465,0.975,0.9397590361445783,160.0
accuracy,0.9510899432130426,0.9510899432130426,0.9510899432130426,0.9510899432130426
macro avg,0.9496234237794914,0.9310627881720311,0.9370934581296984,5459.0
weighted avg,0.9536760988397466,0.9510899432130426,0.9502883413052702,5459.0
